"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu-focal-rax-dfw-0027048694",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","21 Oct 2021 21:58:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
21-10 21:59:27,23.388,2.877,73.417,0.375,0,1250660,119288,1131732,5320996,565.326,565.326,0,2741.582,0,388.224,1688,1517,1.230,1.080,0.810,4,0,15.009,0,27.016,11,28,0,9,0
21-10 21:59:28,27.371,6.999,64.365,0.250,0.250,1168000,244896,1131748,5277580,209226.151,209226.151,643.899,639.900,21.997,30.995,5657,7789,1.230,1.080,0.810,5,0,271.957,0,121.981,11,28,0,13,0
21-10 21:59:29,64.373,9.875,25.249,0,0,1361288,120872,1131760,5207456,155.996,2408.942,23.999,971.977,1.000,33.999,3182,2131,1.230,1.080,0.810,6,0,152.996,0,229.994,11,28,0,13,0
21-10 21:59:30,65.379,7.000,27.126,0.250,0.125,1507088,127860,1131764,5052660,335081.429,335081.429,2268.125,2152.118,79.004,81.004,4790,4571,1.230,1.080,0.810,5,0,0,0,479.026,11,34,0,15,0
21-10 21:59:31,39.728,7.496,52.220,0,0,1191172,443776,1131880,5052588,220334.291,221914.396,0,631.642,0,62.964,5060,5630,1.540,1.150,0.830,2,0,213.879,0,0,11,28,0,22,0
21-10 21:59:32,22.638,2.501,74.542,0,0,1259892,375040,1131896,5052588,21065.860,21065.860,0,164.092,0,12.007,1367,1222,1.540,1.150,0.830,2,0,1.001,0,0,11,30,0,22,0
21-10 21:59:33,16.502,2.750,79.385,0.250,0,1160980,473656,1131948,5052776,218935.710,219117.732,0,920.112,0,68.008,3949,4042,1.540,1.150,0.830,1,0,88.011,0,0,11,28,0,25,0
21-10 21:59:34,11.374,1.375,86.993,0,0,1198804,435824,1131956,5052776,51.996,1250.897,0,31.997,0,3.000,859,976,1.540,1.150,0.830,1,0,1.000,0,0,11,28,0,25,0
21-10 21:59:35,10.000,3.375,85.879,0,0.250,1150252,484276,1132028,5052800,101024.344,101024.344,8.000,716.031,1.000,65.003,3311,3379,1.540,1.150,0.830,1,0,141.006,0,0,11,28,0,25,0
21-10 21:59:36,16.126,13.876,69.506,0.125,0,1197052,437420,1132052,5052832,156.014,9019.785,0,204.018,0,22.002,6494,6045,1.490,1.140,0.840,5,0,780.068,0,0,11,28,0,23,0
21-10 21:59:37,55.493,6.874,37.245,0,0,1351592,282824,1132092,5052848,51.993,2388.682,0,531.929,0,41.994,2200,1458,1.490,1.140,0.840,5,0,4.999,0,0,11,28,0,23,0
21-10 21:59:38,57.249,5.250,36.749,0.250,0.125,1391332,242800,1132164,5053060,455896.794,455896.794,0,3131.944,0,177.997,4975,5137,1.490,1.140,0.840,5,0,10.000,0,0,11,28,0,30,0
21-10 21:59:39,55.127,7.125,37.127,0,0.125,1263672,370124,1132196,5053268,273403.483,273403.483,0,104.004,0,12.001,4866,4798,1.490,1.140,0.840,5,0,72.003,0,0,11,28,0,38,0
21-10 21:59:40,57.001,5.750,37.375,0,0.250,1422092,211692,1132196,5053284,160115.921,161346.936,0,0,0,0,2964,2311,1.490,1.140,0.840,5,0,2.000,0,0,11,31,0,41,0
21-10 21:59:41,56.620,6.624,35.122,0.250,0.125,1270492,361584,1132352,5053856,567728.066,567770.062,7.999,1119.894,1.000,109.990,8107,9080,1.770,1.210,0.860,5,0,99.991,0,0,11,28,0,52,0
21-10 21:59:42,79.248,14.000,7.125,0,0,1433516,198516,1132364,5053888,103.997,2874.914,0,183.994,0,17.999,3857,3529,1.770,1.210,0.860,8,0,409.988,0,0,11,28,0,52,0
21-10 21:59:43,86.874,9.250,2.625,0,0,1617760,119100,1132332,4948468,478346.173,478386.173,60.000,7091.943,12.000,584.995,6370,4843,1.770,1.210,0.860,10,0,0,0,303.998,11,32,0,61,0
21-10 21:59:44,54.513,9.127,35.008,0,0.125,1184876,566220,1132364,4933728,778739.340,779352.486,4.001,644.153,1.000,33.008,9439,9881,1.770,1.210,0.860,5,0,263.063,0,81.019,11,28,0,78,0
21-10 21:59:45,45.324,5.119,49.694,0,0,1316392,434688,1132380,4933728,51.942,1207.649,0,119.866,0,7.991,1758,1222,1.770,1.210,0.860,4,0,3.996,0,0,11,28,0,78,0
21-10 21:59:46,43.528,4.878,50.657,0,0.250,1398712,352100,1132464,4933884,475001.051,475001.051,0,460.294,0,45.029,5555,5176,1.950,1.250,0.870,6,0,2.001,0,0,11,30,0,87,0
21-10 21:59:47,71.004,15.751,12.626,0,0,1359612,390836,1132568,4934148,69660.389,72827.588,0,960.060,0,86.005,5306,5836,1.950,1.250,0.870,10,0,561.035,0,0,11,28,0,88,0
21-10 21:59:48,89.737,10.345,0,0,0.125,1602560,147860,1132568,4934156,44650.949,48891.503,0,0,0,0,2966,1900,1.950,1.250,0.870,11,0,81.760,0,0,11,32,0,89,0
21-10 21:59:49,65.333,12.415,20.315,0.125,0,1476852,302608,1132564,4904944,1260025.481,1268456.376,0,3832.225,0,395.261,12667,13172,1.950,1.250,0.870,10,0,325.037,0,53.170,11,28,0,120,0
21-10 21:59:50,61.611,13.497,24.744,0,0,1313724,465460,1132564,4905200,38088.087,55724.960,3.999,11.997,1.000,2.999,4468,4322,1.950,1.250,0.870,5,0,440.897,0,0,11,28,0,121,0
21-10 21:59:51,56.498,6.125,37.249,0,0,1437908,341268,1132572,4905204,170250.530,170250.530,0,43.998,0,3.000,3221,2313,2.200,1.320,0.900,6,0,0,0,0,11,31,0,124,0
21-10 21:59:52,54.498,6.250,37.374,0.250,0.125,1219960,558744,1132720,4905504,608394.140,608408.139,0,867.973,0,77.998,8628,8706,2.200,1.320,0.900,5,0,95.997,0,0,11,28,0,134,0
21-10 21:59:53,55.746,7.000,37.247,0,0.125,1394436,384264,1132720,4905508,0,0,0,0,0,0,2173,1300,2.200,1.320,0.900,5,0,4.000,0,0,11,28,0,134,0
21-10 21:59:54,53.374,5.000,39.874,0,0,1341172,437260,1132720,4905756,760267.315,760281.315,0,8.000,0,2.000,7672,7718,2.200,1.320,0.900,4,0,78.999,0,0,11,30,0,147,0
21-10 21:59:55,13.876,14.251,71.381,0,0.375,1168636,609528,1132720,4906012,76890.228,88813.194,0,40.003,0,10.001,7684,7211,2.200,1.320,0.900,4,0,796.064,0,0,11,28,0,148,0
21-10 21:59:56,56.254,12.376,30.252,0.125,0,1317376,460640,1132752,4906124,194.015,5582.419,72.005,248.019,10.001,26.002,4991,4509,2.420,1.380,0.920,5,0,452.034,0,0,11,28,0,148,0
21-10 21:59:57,56.496,6.000,37.123,0,0,1450736,327016,1132860,4906288,280143.351,282896.178,15.999,711.955,1.000,61.996,4689,4006,2.420,1.380,0.920,5,0,1.000,4.000,0,11,30,0,156,0
21-10 21:59:58,53.070,9.865,36.337,0,0.250,1260228,517132,1132944,4906592,224216.384,224266.333,51.946,571.410,3.996,51.946,6080,6088,2.420,1.380,0.920,5,0,280.710,0,0,11,28,0,162,0
21-10 21:59:59,56.439,6.257,36.792,0,0.125,1433260,343696,1132960,4906628,7149.164,7149.164,0,176.201,0,13.015,2156,1257,2.420,1.380,0.920,5,0,2.002,0,0,11,28,0,163,0
21-10 22:00:00,43.825,3.871,51.690,0.250,0.125,1468928,307696,1133000,4906904,971483.851,971497.834,0,958.895,0,66.923,8564,9723,2.420,1.380,0.920,2,0,0,0,0,11,38,0,177,0
21-10 22:00:01,51.997,7.250,39.873,0,0,1248200,527508,1133044,4907500,402681.242,402681.242,0,283.983,0,28.998,6321,7624,2.390,1.390,0.930,5,0,110.993,0,0,11,28,0,186,0
21-10 22:00:02,57.298,5.254,37.031,0,0,1406088,369608,1133056,4907500,0,0,0,136.114,0,8.007,1832,1063,2.390,1.390,0.930,5,0,3.003,0,0,11,28,0,186,0
21-10 22:00:03,46.363,4.624,48.363,0,0.125,1464800,310448,1133100,4907900,767256.651,767256.651,0,563.858,0,36.991,7250,7905,2.390,1.390,0.930,6,0,0,0,0,11,36,0,197,0
21-10 22:00:04,42.001,4.500,51.626,0.250,0.250,1305436,469332,1133164,4908308,832613.481,832655.482,0,292.008,0,33.001,9136,10518,2.390,1.390,0.930,7,0,70.002,0,0,11,30,0,211,0
21-10 22:00:05,56.265,6.752,36.385,0,0,1329672,444992,1133208,4908372,36976.688,36976.688,0,204.053,0,20.005,2901,2297,2.390,1.390,0.930,5,0,65.017,0,0,11,28,0,213,0
21-10 22:00:06,57.605,4.748,36.987,0,0.125,1452724,321904,1133208,4908408,245354.145,245354.145,0,0,0,0,3784,3165,2.600,1.450,0.950,5,0,1.999,0,0,11,32,0,218,1
21-10 22:00:07,42.511,3.876,52.263,0.125,0.250,1419988,354000,1133220,4909008,1016603.184,1016603.184,0,64.016,0,8.002,9975,11667,2.600,1.450,0.950,4,0,74.019,0,0,11,34,0,234,0
21-10 22:00:08,53.368,7.249,38.120,0,0.125,1262680,511072,1133236,4909228,378499.038,378499.038,0,155.979,0,10.999,6346,6285,2.600,1.450,0.950,5,0,186.975,0,0,11,28,0,242,0
21-10 22:00:09,56.636,5.876,37.132,0,0.125,1411208,362532,1133244,4909232,55603.620,55603.620,0,20.004,0,2.000,2396,1458,2.600,1.450,0.950,7,0,3.001,0,0,11,30,0,243,0
21-10 22:00:10,54.449,5.495,38.839,0,0.125,1352696,420588,1133300,4909628,857683.354,857683.354,15.985,391.636,0.999,35.967,8941,9788,2.600,1.450,0.950,5,0,22.979,0,0,11,32,0,260,0
21-10 22:00:11,54.376,8.375,36.750,0,0,1298612,474552,1133324,4909724,4444.049,4458.049,0,168.002,0,14.000,3323,2846,2.790,1.510,0.970,5,0,168.002,0,0,11,28,0,260,0
21-10 22:00:12,56.922,5.379,36.781,0,0,1446792,326352,1133340,4909728,111098.434,111098.434,0,132.110,0,8.007,2713,1794,2.790,1.510,0.970,5,0,0,0,0,11,30,0,264,0
21-10 22:00:13,53.541,6.739,38.814,0,0.125,1325452,446860,1133512,4910388,875393.010,875406.988,0,1317.937,0,108.830,9292,10558,2.790,1.510,0.970,5,0,101.841,0,0,11,31,0,290,0
21-10 22:00:14,56.716,5.509,37.185,0,0.125,1320644,451496,1133512,4910556,116705.195,116719.218,0,0,0,0,3367,2656,2.790,1.510,0.970,5,0,24.039,0,0,11,28,0,292,0
21-10 22:00:15,56.432,5.618,37.080,0,0.125,1389368,382564,1133520,4910764,273991.115,274005.098,0,19.976,0,1.998,4304,3907,2.790,1.510,0.970,5,0,26.968,0,0,11,28,0,299,0
21-10 22:00:16,54.583,7.011,37.682,0,0,1340240,431412,1133520,4911052,768670.147,768684.169,0,0,0,0,8079,8581,2.970,1.570,0.990,5,0,31.047,0,0,11,32,0,315,0
21-10 22:00:17,54.171,8.238,36.696,0.125,0.250,1346368,425020,1133600,4911240,179049.513,179063.493,0,251.631,0,29.956,4832,4715,2.970,1.570,0.990,7,0,108.840,0,0,11,30,0,317,0
21-10 22:00:18,54.304,5.881,39.164,0.125,0,1335780,435324,1133688,4911436,266219.291,266233.305,0,396.392,0,38.038,5414,5280,2.970,1.570,0.990,4,0,84.083,0,0,11,28,0,320,0
21-10 22:00:19,46.003,3.500,49.003,0,0.125,1350144,420704,1133704,4911672,635156.474,635397.488,0,148.009,0,11.001,6401,6844,2.970,1.570,0.990,4,0,22.001,0,0,11,32,0,331,0
21-10 22:00:20,43.628,6.375,48.378,0.375,0,1254568,516052,1133728,4911868,216438.986,216452.987,0,11524.691,0,377.023,4948,4183,2.970,1.570,0.990,4,0,139.008,0,0,11,28,0,335,0
21-10 22:00:21,45.373,4.625,49.248,0.125,0.125,1323448,447104,1133776,4911892,63867.509,63867.509,0,195.992,0,17.999,2781,2150,3.050,1.610,1.010,4,0,41.998,0,0,11,28,0,336,0
21-10 22:00:22,45.226,4.747,48.849,0,0.125,1348384,421932,1133800,4912092,504558.080,504572.072,0,99.947,0,10.994,5365,5235,3.050,1.610,1.010,4,0,21.988,0,0,11,28,0,342,0
21-10 22:00:23,45.016,5.377,49.768,0,0.125,1340200,430032,1133816,4912156,143498.803,143498.803,0,116.042,0,8.003,3249,2689,3.050,1.610,1.010,4,0,48.017,0,0,11,28,0,344,0
21-10 22:00:24,45.133,4.501,49.133,0,0,1334092,435956,1133864,4912292,64869.898,64869.898,0,196.033,0,20.003,2870,2315,3.050,1.610,1.010,4,0,62.010,0,0,11,29,0,345,0
21-10 22:00:25,44.741,5.499,48.865,0.125,0,1291640,478136,1133912,4912512,497166.584,497166.584,0,287.941,0,35.993,5817,5834,3.050,1.610,1.010,4,0,56.988,0,0,11,30,0,353,0
21-10 22:00:26,45.037,5.129,49.166,0,0.125,1337524,432124,1133968,4912572,256847.900,256847.900,0,256.211,0,24.020,4245,3966,3.130,1.650,1.020,4,0,42.035,0,0,11,28,0,359,0
21-10 22:00:27,43.998,6.125,48.997,0.125,0.125,1324736,444684,1134016,4912748,326316.053,326316.053,0,231.987,0,22.999,4784,4392,3.130,1.650,1.020,4,0,68.996,0,0,11,30,0,361,0
21-10 22:00:28,48.104,6.997,43.981,0,0.125,1290436,478760,1134020,4912956,248660.579,248660.579,0,147.936,0,8.996,6113,9007,3.130,1.650,1.020,4,0,105.954,0,0,11,28,0,368,0
21-10 22:00:29,44.987,4.999,49.360,0,0.125,1334836,434172,1134080,4913076,248738.876,248738.876,71.979,339.899,2.999,31.990,4695,4169,3.130,1.650,1.020,4,0,35.989,0,0,11,28,0,371,0
21-10 22:00:30,43.500,6.250,49.125,0.250,0,1265640,503152,1134124,4913248,172102.377,172102.377,0,1504.012,0,181.001,4051,3520,3.130,1.650,1.020,5,0,114.001,0,0,11,28,0,377,0
21-10 22:00:31,45.504,4.375,49.379,0,0,1318628,450104,1134148,4913280,156520.461,156520.461,0,324.028,0,20.002,3204,2592,3.200,1.690,1.040,4,0,28.002,0,0,11,28,0,369,0
21-10 22:00:32,39.123,5.000,54.497,0,0.125,1273680,494832,1134188,4913456,295920.204,296110.194,0,463.977,0,33.998,4326,4019,3.200,1.690,1.040,3,0,76.996,0,0,11,30,0,373,0
21-10 22:00:33,32.985,4.623,61.596,0,0.250,1293592,474876,1134200,4913480,180736.777,180736.777,0,243.886,0,12.994,3262,2860,3.200,1.690,1.040,3,0,44.979,0,0,11,30,0,371,0
21-10 22:00:34,34.890,3.126,61.902,0,0,1307804,460564,1134248,4913500,98167.488,98167.488,0,328.145,0,26.012,2666,2367,3.200,1.690,1.040,3,0,38.017,0,0,11,28,0,373,0
21-10 22:00:35,32.874,5.000,61.249,0,0.125,1264544,503576,1134304,4913688,201452.575,201452.575,0,319.995,0,36.999,3958,3910,3.200,1.690,1.040,4,0,128.998,0,0,11,28,0,377,0
21-10 22:00:36,33.866,3.749,61.608,0.125,0,1287156,480872,1134360,4913720,100294.018,100294.018,0,403.887,0,36.990,2693,2492,3.180,1.710,1.050,4,0,56.984,0,0,11,28,0,379,0
21-10 22:00:37,34.368,3.374,61.737,0.125,0,1295420,472360,1134416,4913908,327247.914,327247.914,0,375.923,0,27.994,3877,3942,3.180,1.710,1.050,4,0,39.992,0,0,11,30,0,386,0
21-10 22:00:38,33.389,4.502,61.152,0,0,1233308,534360,1134472,4913960,283158.891,283158.891,0,320.139,0,26.011,4398,4391,3.180,1.710,1.050,3,0,86.037,0,0,11,28,0,392,0
21-10 22:00:39,35.098,2.998,61.703,0,0.125,1263124,504308,1134496,4914104,100538.189,100538.189,0,215.835,0,16.987,2226,1847,3.180,1.710,1.050,3,0,24.981,0,0,11,28,0,379,0
21-10 22:00:40,33.399,4.503,61.294,0,0,1328736,438368,1134544,4914372,483796.818,483824.838,68.049,344.248,2.001,26.019,4548,5280,3.180,1.710,1.050,3,0,37.027,0,0,11,30,0,390,0
21-10 22:00:41,33.829,3.620,61.542,0.125,0.125,1289040,477992,1134568,4914400,128030.799,128080.731,0,251.662,0,16.977,2893,2700,3.080,1.710,1.060,3,0,46.937,0,0,11,29,1,379,0
21-10 22:00:42,34.919,3.129,61.703,0,0,1297624,467928,1134616,4915832,327135.116,327149.134,0,260.331,0,24.031,4386,4060,3.080,1.710,1.060,3,0,1.001,0,0,11,28,0,381,0
21-10 22:00:43,34.369,3.749,60.490,0,0.125,1225900,538332,1134672,4917084,522539.304,522539.304,0,303.950,0,25.996,5543,6281,3.080,1.710,1.060,3,0,47.992,0,0,11,28,0,384,0
21-10 22:00:44,24.006,4.751,70.767,0.125,0,1283432,480608,1134688,4917256,222278.569,247228.582,0,188.045,0,11.003,3494,3345,3.080,1.710,1.060,2,0,133.032,0,0,11,30,0,385,0
21-10 22:00:45,22.879,2.625,73.512,0.125,0.250,1194232,569708,1134720,4917324,357788.035,357788.035,0,376.062,0,34.006,4980,5038,3.080,1.710,1.060,2,0,50.008,0,0,11,28,0,369,0
21-10 22:00:46,22.624,2.625,74.498,0,0.125,1261216,502708,1134736,4917324,0,0,0,179.995,0,12.000,1329,1178,3,1.720,1.060,2,0,4.000,0,0,11,28,0,369,0
